Dep,Dest,Evenodd,Restriction,Route
OMDB,ESSA,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI N77 ADANO N82 LAPTO A234 SORLU R11 BUTRI N39 TE T563 UK L169 TU R58 NOTAR DCT LUPET L77 XILAN
OMDB,ESSA,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM DCT LUGEB L623 BCU N616 XILAN
OMDB,FACT,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 KOBOD UB400 GBV UT969 ESPUV UQ59 SSV UQ60 NEXIT UQ23 CSV UZ26 ERDAS
OMDB,FACT,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DVL UM315 USUBI UR409 VMV UA405 GWV UZ11 NESAG UZ7 OKPIT DCT RAGUL UQ10 CSV UZ26 ERDAS
OMDB,FACT,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DV UM310 VBR UM307 EPSEK UZ33 NESAG UZ7 OKPIT DCT RAGUL UQ10 CSV UZ26 ERDAS
OMDB,FALE,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DV UM310 VMA UB529 ITMIL
OMDB,FAOR,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DVL UM315 USUBI UR409 VMV UA405 GWV UZ11 NESAG UZ7 OKPIT
OMDB,FAOR,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 DV UM310 VBR UM307 EPSEK UZ33 NESAG UZ7 OKPIT
OMDB,FIMP,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 DEDSO R401 SUHIL UR401G AXINA UM314 PRA UM313 ALRAN UR400F UTIVA
OMDB,FLKK,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM UB403 BOMIX UB403G MUSBI UB403 MAV UP312 MB UR779 VLS
OMDB,FNLU,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM B404 DEMGO UB404G HARGA UM216G AXAPO UM216 UTIVO DCT UNDOS UM306 VNA
OMDB,FSIA,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 DEDSO R401 SUHIL UR401G AXINA UM314 UDLET T123 ROUTY
OMDB,GUCY,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW UM863 IPONO UG622 ZR UG854 GIA
OMDB,GUCY,EVEN,,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 JDW UM863 IPONO UG622 ZR UG854 GIA
OMDB,GUCY,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 EVIRA M978 GZO M980 BASMO UM980 TBS UG864 BRENA UA854 SADKA UM372 BUMBI UR72 DESOR DCT MENAB
OMDB,HAAB,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM B404 DEMGO UB404G HARGA UW885G ARSHI W885 DWA UT667 MIWAS
OMDB,HECA,EVEN,,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO
OMDB,HKJK,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM UB403 BOMIX UB403G MUSBI UB403 MAV UP312 WAV UT932 NV
OMDB,HRYR,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 RIGAM B404 DEMGO UB404G HARGA UM216G AXAPO UM216 LOV UL432 ALSAR
OMDB,HSSS,EVEN,,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 JDW B407 KAROX UL311 PASIL
OMDB,HTDA,EVEN,,ANVIX R401 GIDIS G783 UKRAG L710 KUKDI B400 VEDET UL437G ITMAR UL437 ELAVA
OMDB,KEWR,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ UP574 SAV UL124 ZAJ UR654 MAGRI DCT ADILA DCT LAPTO A234 SORLU R11 BUTRI N39 TE T563 UK L169 TU R58 NOTAR DCT KELAS DCT LEPTI DCT 64N000E 64N010W 64N020W 63N030W 62N040W 60N050W DCT CUDDY DCT YBC DCT BAREE DCT YSC DCT HANAA
OMDB,KJFK,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES L619 BUKEL DCT EDETA L619 KARIL DCT KENIN DCT LENOV DCT KOLOB DCT NERDO DCT GUNPA DCT 62N010W 62N020W 62N030W 60N040W 57N050W DCT HOIST DCT YYR DCT PQI J55 ENE
OMDB,KMCO,EVEN,,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES DCT KARIL DCT KEKED DCT KELEL DCT NAXAR DCT BINKA DCT KOSEB DCT RASVI DCT GUNPA DCT 63N010W 63N020W 63N030W 62N040W 60N050W DCT AVUTI DCT DUVBI DCT YWK DCT RJ DCT YMX DCT SYR J59 PSB DCT FINKS DCT GSO DCT CHS DCT IGARY Q85 LPERD DCT OMN
OMDB,KORD,EVEN,,RIDAP M557 TUMAK T557 RAGAS UT430 SYZ G663 TBS M318 RIKOP B114 ASB B359 MAVAX A370 URG A299 AKALI L985 RAVNI A241 KST L165 ANODI N990 MAGUN DCT 87N000E 87N020W 87N040W 86N060W 84N080W 80N090W 75N090W 70N090W 6430N09000W 55N090W DCT GRB DCT FGHRN MADII5
OMDB,KORD,EVEN,,DAVMO M318 GABKO M317 RADEB M318 ASMUK W32 PURKI T215 OBRIX N39 BAKUV N72 BISNA R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU A493 OKUDI T561 SPB T562 RATLA DCT ABAXI DCT NORVA DCT 70N000E 71N020W 70N040W 69N050W DCT EPMAN DCT KENKI DCT TEFFO DCT PIGLA DCT 50N085W DCT FOLGO
OMDB,KORD,EVEN,,DAVMO M318 ASMUK W32 ROVAD UL125 ELEDI N39 BAKUV N72 BISNA R704 ARNIS T639 BUTRI N39 TE T563 UK L169 TU A493 OKUDI T561 SPB T562 RATLA DCT ABAXI DCT NORVA DCT 70N000E 71N020W 70N040W 69N050W DCT EPMAN DCT KENKI DCT TEFFO DCT GW DCT YMO DCT 4700N08630W DCT SAW DCT GRB MADII4
OMDB,KSEA,EVEN,,DAVMO M318 RIKOP B114 ASB B359 MAVAX A370 URG A299 AKALI L985 RAVNI A241 KST L165 ABERI DCT 85N124W 80N123W 75N122W 70N121W 65N120W 60N120W DCT YXJ J534 YWL T618 YYJ
