Dest ICAO,Dest Name,Level Restrictions,Full Route
LCLK,Larnaca,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB J981 DATOK L550 APLON A28 LOSOS
LDZA,Zagreb,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q6 ERDOM Y520 UTEKA DCT TUVAR DCT LAKIK DCT MOSAV
LEBL,Barcelona,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 IZA UN856 MARTA
LEBL,Barcelona,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UL614 GEM UT32 BUK UL602 MAKOL DCT DOLAP DCT VELUG DCT ROMPO DCT EPIKU DCT GINOX UM601 VERSO
LEMD,Madrid,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 VLC UN733 PRADO
LFLL,Lyon,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 NERDI M747 NEKUL P975 MOPUG DCT DIMLO DCT VAMET DCT OBEDI DCT ERKIR L608 KPT L856 AKABI UZ613 TRA Z69 OLBEN UN869 MILPA
LFLL,Lyon,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q8 DOLAP DCT ROTAR DCT IXUSA P860 RONOP UP860 GIGUS Z40 AMVAR
LFLL,Lyon,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 DIRER DCT TUVAR DCT ROTAR DCT IXUSA P860 RONOP UP860 GIGUS Z40 AMVAR
LFPG,Paris,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 TIXIP Q26 DEGET DCT ABETI DCT TAGAS DCT RENKA UL610 LOHRE UL984 NOSPA UN857 RAPOR UZ157 VEDUS
LGAV,Athens,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ L617 TANSA UL617 SOREV
